source,sample,construction,Y word,X  word,conn.,Y anim,WO - X first
sciteclibrary.ru,"     , но Гровс гнал все направления сразу. Это же < был танк, а не человек >. Нужны были мощные силовые трансформаторы,        ","танк, а не человек",человек,танк,pos,yes,yes
balaboloff.ru,"       рассмотреть сидевшую у костра тень, ибо это < была тень, а не человек >. Тень была прозрачной, и тускло отсвечивала,      ","тень, а не человек",человек,тень,neut,yes,yes
zhivoeslovo.ru,"      ним ниц и всячески поклоняться ему. Вронский < был идол, а не человек >. Поэтому он не мог ухаживать за ней, он только    ","идол, а не человек",человек,идол,neut,yes,yes
stalkerbooks.ru,"        сознание сильнее чем я ожидал и теперь это < было растение, а не человек >. С девушкой следовало обойтись чуть               ","растение, а не человек",человек,растение,neg,yes,yes
sunny-music.ru,"            , Эрни продолжает с горечью: «Мой отец < был дьявол, а не человек >. Все деньги он тратил на игру; играл в покер и в  ","дьявол, а не человек",человек,дьявол,neg,yes,yes
forum.votpusk.ru," , не ездите с Интерс, особенно с Сарычевой - это < был кошмар, а не отдых >! В автобусе, не работал ни туалет, ни кофеварка  ","кошмар, а не отдых",отдых,кошмар,neg,no,yes
findtour.ru,"   видели). оценка Даже незнаю с чего начать. Это < был кошмар, а не отдых >. В номере сантехника не работала, сделали её     ","кашмар, а не отдых",отдых,кошмар,neg,no,yes
kturkam.ru,"     в отеле «Saphir» с 31.07.10 по 13.08.10. Это < был кошмар, а не отдых >. Ночные пытки музыкой сделают из Вас             ","кошмар, а не отдых",отдых,кошмар,neg,no,yes
lnic.norge.ru,"         гайдуцкие песни. Замечательная поэзия! Это < был восторг, а не работа >. Я их сразу набело печатал на машинке одну за      ","восторг, а не работа",работа,восторг,pos,no,yes
sexandthecity.ru,"       только три-четыре месяца в году, так что это < была мечта, а не работа >. Поэтому я заскучала довольно быстро. Фильм        ","мечта, а не работа",работа,мечта,pos,no,yes
rus.trud.ru,"   ним первой «Ифигению в Авлиде» Глюка в Риме. Это < была мечта, а не работа >! Мути — трудный человек, но когда его              ","мечта, а не работа",работа,мечта,pos,no,yes
uralgold.ru," У нас в артели было 33 бульдозера и все С-100, это < был кошмар, а не работа >, доходило до того, что на ходу оставался всего     ","кошмар, а не работа",работа,кошмар,neg,no,yes
homemade-product.ru,"         мешали мелкие штыревые сучки. В общем, это < было мученье, а не работа >. Куда лучше повела себя сирень. Обручи из нее      ","мученье, а не работа",работа,мученье,neg,no,yes
lib.custis.ru,"     не использовали концепцию сети доверия, то это < был онанизм, а не работа >. Я не знаю, чем вы там занимались, но поверьте     ","онанизм, а не работа",работа,онанизм,neg,no,yes
hlebopechka.ru,"     хитрости - 4 Торт ""Кружка пива и раки"" Вот это < был отдых, а не работа > Вес 2,6кг. Внутри ""А-ля Прага"" с вишней и джемом   ","отдых, а не работа",работа,отдых,pos,no,yes
ergosolo.ru,"    как я раньше работал на обычной клавиатуре. Это < было мучение, а не работа >. А вот эргономика это, братцы(тут Экслер           ","мучение, а не работа",работа,мучение,neg,no,yes
epizodsspace.airbase.ru,"      ; температура была выше и постоянней. Словом, < была забава, а не работа >. Только частый заход Солнца, через 67 минут        ","забава, а не работа",работа,забава,pos,no,yes
subscribe.ru,"                 на одной 5-дюймовой дискете... Это < было мучение, а не работа >... < Вера в ВАШИ знания у меня безоговорочна > - а ","мучение, а не работа",работа,мучение,neg,no,yes
tele-show.ru,"     процесса в том, что он творческий. Для нас это < было приключение, а не работа >. – Если вы знаете мифы, то Пандора была первой     ","приключение, а не работа",работа,приключение,pos,no,yes
sumerki3-sz.ru,"           лишь снять нужные для монтажа сцены. Это < был пустяк, а не работа >. Ты чувствуешь облегчение, наконец-то              ","пустяк, а не работа",работа,пустяк,pos,no,yes
sv-nn.ru,"  Одри Хепберн. Ну, не буду говорить о том, что это < была богиня, а не женщина >. Во всех ее фильмах столько юмора, невинности и  ","богиня, а не женщина",женщина,богиня,pos,yes,yes
kisuhvostik.ru,"    …"" У нас была начальница филиала банка, так это < был главнокомандующий, а не женщина >. Строгая, жесткий взгляд, командирский тон…      ","главнокомандующий, а не женщина",женщина,главнокомандующий,neut,yes,yes
bogoroditsk.tulobl.ru,"        , как я ее увидел, весила девять пудов. Это < была гора, а не женщина >, она ходила с трудом и одновременно отличалась   ","гора, а не женщина",женщина,гора,neut,yes,yes
lib.ru,"     , сморщенная, беззубая старушка; но все же это < было чудо, а не женщина >, и сердце мое хранило ей верность до конца. Я же ","чудо, а не женщина",женщина,чудо,pos,yes,yes
forum.cgm.ru,"           и единственное подозрение было - что это < был робот, а не женщина > . В 2007 году 2 место взял вообще опционист.     ","робот, а не женщина",женщина,робот,neut,yes,yes
starchildglobal.ru,"     преисполнен такой гордости, словно рядом с ним < была супермодель, а не женщина > под мужчина и вполовину его роста. Пашенька      ","супермодель, а не женщина",женщина,супермодель,pos,yes,yes
autism.forum2x2.ru,"  , что было раньше. А тем более последнее время он < был золото, а не ребенок >. У меня дочка в шоке. ""И это все от еды?"" Первый ","золото, а не ребенок",ребенок,золото,pos,yes,yes
tlt.ru,"             . Вы просто не представляете какой это < был круть-верть, а не ребенок >! И крупный, и сильный, как будто ему уже годик.  ","круть-верть, а не ребенок",ребенок,круть-верть,neut,yes,yes
fantasy-book.ucoz.ru,"   в алчном и лицемерном мире. И каждый день в нем - < это выживание, а не жизнь >. - Я знаю, что глупые люди говорят тебе, что мир ","выживание, а не жизнь",жизнь,выживание,neg,no,yes
reviewmovie.ru,"   ! Если даже наполовину все так, как ты пишешь, то < это ужас, а не жизнь >. И ты, явно, пыталась что-то изменить. И не раз. ","ужас, а не жизнь",жизнь,ужас,neg,no,yes
boy-and-girl.ru,"    ли связь. Но связь есть! А жизни нет! Потому что < это мука, а не жизнь >! Ах, если бы он, уходя, сказал вчера, что        ","мука, а не жизнь",жизнь,мука,neg,no,yes
fdostoevsky.ru,"    жизнь. Чего ж ей больше желать? скажите! Да ведь < это рай, а не жизнь >! Я слушал молча и с удивлением. Я понял, что     ","рай, а не жизнь",жизнь,рай,pos,no,yes
lost-empire.ru,"    ; что творится у нас сейчас, просто жить нельзя, < это каторга, а не жизнь >, все вдарили на крестьян». «К» «Ты советуешь     ","каторга, а не жизнь",жизнь,каторга,neg,no,yes
enirin.ru,"     этом мире за счёт увековечивания мук смерти, но < это агония, а не жизнь >. Разве стоит платить за это проклятие такую      ","агония, а не жизнь",жизнь,агония,neg,no,yes
gdepapa.ru,"     напряжении, в страхе, что тебя опять предадут - < это кошмар, а не жизнь >. Я не думаю, что мой ребенок будет счастлив      ","кошмар, а не жизнь",жизнь,кошмар,neg,no,yes
gornaz.ru,"     маст гоу он... Что у нас впереди? Если и дальше < это возня, а не жизнь >... Переступность за 20 лет выросла в 9 раз,      ","возня, а не жизнь",жизнь,возня,neg,no,yes
mustafaibrahim.ru,"     . Ну погода, например. Знаете, 9 месяцев зимы – < это выживание, а не жизнь >. А в совке почти везде и всегда зима-осень.      ","выживание, а не жизнь",жизнь,выживание,neg,no,yes
providenie.narod.ru,"     . И далее: «Национализм — дело умирающей нации; < это агония, а не жизнь >. Будь велик — и прославится твой народ; будьте   ","агония, а не жизнь",жизнь,агония,neg,no,yes
saltykov.net.ru,"      рассмотрите, что такое есть ваша жизнь? - ведь < это катастрофа, а не жизнь >! 4) Черновая рукопись главы XV, отличия          ","катастрофа, а не жизнь",жизнь,катастрофа,neg,no,yes
expert.vtomske.ru,"      раз за ночь и проверяю ее состояние. В общем - < это кошмар, а не жизнь >. Лечиться отказывается, говорит, что все         ","кошмар, а не жизнь",жизнь,кошмар,neg,no,yes
sexandthecity.ru,"      его 50 человек одевают, красят, причесывают, - < это сказка, а не жизнь >. Хотя я и на жизнь не жалуюсь! Если Вам          ","сказка, а не жизнь",жизнь,сказка,pos,no,yes
smalt.karelia.ru,"      , а бѣлья было смѣнить не чѣмъ ... Господи !.. < это адъ , а не жизнь > !.. Нѣтъ ужаснѣе наказан i я въ м i рѣ —         ","адъ , а не жизнь",жизнь,адъ,neg,no,yes
info.sibnet.ru,"       работать не выгодно. То что ты там перечислил < это жопа, а не жизнь >. зы Я вообще не являюсь поклонником кого-либо.   ","жопа, а не жизнь",жизнь,жопа,neg,no,yes
azlib.ru,"        на каждом шагу думать заставлять будут? Ведь < это каторга, а не жизнь >! Думать!"" Стр. 325. ""...наша женерозность        ","каторга, а не жизнь",жизнь,каторга,neg,no,yes
literabel.ru,"        кидались. Духовность, разбитая на параграфы, < это канцелярия, а не жизнь >. Представляю, с каким упоением в конторах        ","канцелярия, а не жизнь",жизнь,канцелярия,neg,no,yes
kroutov.ru,"        . Это я имею в виду. Если гомосексуалисты, - < это смерть, а не жизнь >, ибо они не производят на свет никого. От них    ","смерть, а не жизнь",жизнь,смерть,neg,no,yes
verapavlova.ru,"         что-то не сбывалось. Когда все сбывается, - < это сон, а не жизнь >. Что-то сбудется, что-то не сбудется -           ","сон, а не жизнь",жизнь,сон,pos,no,yes
webcommunity.ru,"         ? Я не могу существовать без цели, для меня < это прозябание, а не жизнь >. Взять лист бумаги и написать свои желание, я,   ","прозябание, а не жизнь",жизнь,прозябание,neg,no,yes
pisemskiy.org.ru,"          лет она думала, что жить и не наживаться - < это прозябание, а не жизнь >. В силу такого мнения Миропа Дмитриевна по       ","прозябание, а не жизнь",жизнь,прозябание,neg,no,yes
edem.ru,"           начнут давать вам ощущение от брака - что < это каторга, а не жизнь >. На данном сайте не предусмотрено                ","каторга, а не жизнь",жизнь,каторга,neg,no,yes
pokavdekrete.ru,"           коляске – это кайф. Всё хорошо – декрет – < это малина, а не жизнь >! Одна беда – проснулось папино либидо.           ","малина, а не жизнь",жизнь,малина,pos,no,yes
reporter-smi.ru,"           жизни многих жителей настолько низок, что < это существование, а не жизнь >. Это на примере Москвы всё выглядит красиво.     ","существование, а не жизнь",жизнь,существование,neg,no,yes
laitman.ru,"            . Многие люди уже начинают понимать, что < это сумасшествие, а не жизнь >: прийти в этот мир ради какой-то гонки - а затем ","сумасшествие, а не жизнь",жизнь,сумасшествие,neg,no,yes
biblioteka.sputnik-n.ru,"             придумывать предлог? Ведь действительно < это мучение, а не жизнь >! Гладко ли я выражаю свои мысли? По-моему,       ","мучение, а не жизнь",жизнь,мучение,neg,no,yes
forum.mirimanova.ru,"               жить. Бывают проблески,но в основном, < это самоизнасилование, а не жизнь >. Что мне делать, чтобы все изменить, я примерно  ","самоизнасилование, а не жизнь",жизнь,самоизнасилование,neg,no,yes
lavushenko.ru,"               . Как не крути питаться по минимуму , < это выживание, а не жизнь >. Lucenok очень мало кушает это все подметили,и   ","выживание, а не жизнь",жизнь,выживание,neg,no,yes
ladiesproject.ru,"                    не застегивать:) Длинные ногти - < это роскошь, а не жизнь >:) Но все-таки, как бы вы прокомментировали       ","роскошь, а не жизнь",жизнь,роскошь,pos,no,yes
vproduct.ru,"  с ним общался, то у меня было такое ощущение, что < это ангел, а не человек >. Я был счастлив общаться с ним! Мы пили с ним вино   ","ангел, а не человек",человек,ангел,pos,yes,yes
lib.ru,"  Входят сэр Тоби и сэр Эндрю. Сэр Тоби Да, братец, < это черт, а не человек >! Я еще не видывал такого рубаки. Я пошел было с      ","черт, а не человек",человек,черт,neg,yes,yes
jungland.ru,"  . В 22-м Псалме [Вольгата] он жалуется на то, что < он червь, а не человек >, посмешище и презренное существо. Это дает           ","червь, а не человек",человек,червь,neg,yes,yes
day.sibnet.ru,"  , он просто чудо) - Сталин (но Антон говорит, что < он Вождь, а не человек >). С Леонидом ходили на выставку ксилографий          ","Вождь, а не человек",человек,Вождь,neut,yes,yes
allk.ru,"   . И я проклинаю час, когда с ним встретился, ибо < он дьявол, а не человек >. Сэр Ланселот его оставил и пожелал непременно       ","дьявол, а не человек",человек,дьявол,neg,yes,yes
bg.ru,"    ним, правда, не знакома, но Марина уверяет, что < он чудо, а не человек >: энергичный, добрый и очень ответственный.           ","чудо, а не человек",человек,чудо,pos,yes,yes
lib.ru,"    несмотря на ее кроткое и нежное выражение лица, < это зверь, а не человек >. ""Погоди, - сказала она, - поживешь подольше,        ","зверь, а не человек",человек,зверь,neg,yes,yes
rus-shake.ru,"    ненавижу! Если бы встретила, руки бы не подала, < это ужас, а не человек >! Человек отвратителен, когда он дает деньги в        ","ужас, а не человек",человек,ужас,neg,yes,yes
sachok.ru,"    двери иногда сложно закрыть... факин а вот О.А. < это сказка, а не человек >... жалко ,ч то мы его здесь больше не увидим...      ","сказка, а не человек",человек,сказка,pos,yes,yes
dostoevskiy.net.ru,"     человека несколько лет и думаешь про него, что < это зверь, а не человек >, презираешь его. И вдруг приходит случайно           ","зверь, а не человек",человек,зверь,neg,yes,yes
literary.ru,"     с Плюшкиным, ""бросили его вовсе, сказавши, что < это бес, а не человек >"" (VI, 119). Каково место предметных реалий и         ","бес, а не человек",человек,бес,neg,yes,yes
menalmanah.narod.ru,"     с женой, говорят, что он бросил ее, так словно < она вещь, а не человек >, если же у бывшей жены еще и дети, то говорят, что   ","вещь, а не человек",человек,вещь,neg,yes,yes
galkovsky.ru,"     ингуша и осетина. И враз убедитесь, что осетин < это дрянь, а не человек >, а вот ингуш, напротив это такой человек, что…       ","дрянь, а не человек",человек,дрянь,neg,yes,yes
zlatoslava.ru,"     детище не жалеешь. Другой бы из огня достал. А < это истукан, а не человек >, не отец. Вы благородный человек, –                  ","истукан, а не человек",человек,истукан,neg,yes,yes
pravoedelo.ru,"     время человек, который не руководил заводом, ? < это полчеловека, а не человек >. С серьезными людьми его даже рядом сажать           ","полчеловека, а не человек",человек,полчеловека,neg,yes,yes
litforum.ru,"     . Но, поняв, что его Учитель именно таков, что < он маг, а не человек >, Хаген признает его таким, каков он есть,            ","маг, а не человек",человек,маг,pos,yes,yes
jungland.ru,"     -ом Псалме* (Вульгата) он жалуется на это, что < он червь, а не человек >, посмешище и объект презрения, поистине, есть        ","червь, а не человек",человек,червь,neg,yes,yes
ark.ru,"      сначала рассказали, почему мужчина всё-таки - < это зверь, а не человек >. Ведущий: Зовите меня Алексей. :-) Ольга: (          ","зверь, а не человек",человек,зверь,neg,yes,yes
rabina-book.narod.ru,"      полчаса приходит Топов взмокший: - Ну, Клава, < это золото, а не человек >, в шахматы играет лучше меня! Тут все мне и          ","золото, а не человек",человек,золото,pos,yes,yes
lib.ru,"      и проси его любить тебя всю жизнь, потому что < он ангел, а не человек >, и я всегда это говорила! Когда, повинуясь           ","ангел, а не человек",человек,ангел,pos,yes,yes
livelib.ru,"      вы, Марья Александровна, а сущая правда! Ведь < это полукомпозиция, а не человек >. Вы его видели шесть лет назад, а я час тому назад   ","полукомпозиция, а не человек",человек,полукомпозиция,neg,yes,yes
russiafederation.ru,"      . - Да и притом, когда он придет в бешенство, < это зверь, а не человек >, потому-то я и предупреждаю пана старосту. -         ","зверь, а не человек",человек,зверь,neg,yes,yes
pravbeseda.ru,"      ! Спасен буди! И поручил его старцам, говоря: < это ангел, а не человек >! Рассказывали об авве Исидоре, пресвитере            ","ангел, а не человек",человек,ангел,pos,yes,yes
foru.ru,"       в Наш Дом! 31.03.2008. Если мыслей нет -- то < это овощь, а не человек > :) Простите, если не так вас понял..                 ","овощь, а не человек",человек,овощь,neg,yes,yes
fdostoevsky.ru,"       , не знаю, какие на ней-то грехи, потому что < она ангел, а не человек >! Она сказала мне, что мы в страшном долгу у бога,    ","ангел, а не человек",человек,ангел,pos,yes,yes
nikken-krasnodar.ru,"        умный, хладнокровный, жесткий. По существу, < это машина, а не человек >! Он фанатик и ради своих идей готов пойти на         ","машина, а не человек",человек,машина,neg,yes,yes
ekranka.ru,"        Брунельда должна быть. Мне-то казалось, что < это монстр, а не человек >. А на самом деле нет, конечно. Брунельда             ","монстр, а не человек",человек,монстр,neg,yes,yes
likebook.ru,"        ). О, что за человек! Да простит меня небо, < это зверь, а не человек >! (Уходит.) Пандольфо (к Филиппо). А вы, если         ","зверь, а не человек",человек,зверь,neg,yes,yes
elan-kazak.forum2x2.ru,"         проходят и не обращают внимания, как будто < это скот, а не человек >. Варивода Овдий был назначен старшим по сбору        ","скот, а не человек",человек,скот,neg,yes,yes
lib.ru,"          привязать его к кожаной скамье. Но только < это дьявол, а не человек >. Он доводит до изнеможения даже самого Пьера         ","дьявол, а не человек",человек,дьявол,neg,yes,yes
ilibrary.ru,"          он, когда ухаживал за мной! Я думала, что < это ангел, а не человек >! — А вы хотели, чтоб ему понравилось то письмо,      ","ангел, а не человек",человек,ангел,pos,yes,yes
bookz.ru,"           - здоровается. Среди теперешней молодежи < это клад, а не человек >. Молодой доктор нравился старухе не только           ","клад, а не человек",человек,клад,pos,yes,yes
homearchive.ru," , раз такие запросы :) А если ей мало 16-18 см., то < это лоханка, а не женщина > :)) Нет - конечно, может быть такое и с рождения, ","лоханка, а не женщина",женщина,лоханка,neg,yes,yes
merime.ru,"      что добилась освобождения для своего рома. Да, < это золото, а не женщина >! Целых два года она старалась его выручить.       ","золото, а не женщина",женщина,золото,pos,yes,yes
92fm.ru,"       что это женщина. А женщина-боец, коммисарша – < это друг, а не женщина >. С ней можно пойти в разведку, на конях скакать,  ","друг, а не женщина",женщина,друг,pos,yes,yes
strana-s.ru,"       цвет пишет: Наденька ты стройна, прекрасна 73 < это мечта, а не женщина >,пушинка! есть девченки которые заглянули в        ","мечта, а не женщина",женщина,мечта,pos,yes,yes
svekra.ru,"          моей свекровью, и как же мне повезло, ведь < она чудо, а не женщина >. она настаивала на том чтобы я переехала к ним, а ","чудо, а не женщина",женщина,чудо,pos,yes,yes
info-posad.ru,"          (известного русского поэта-эмигранта), что < это ведьма, а не женщина >. Герцен всю жизнь терпеть ее не мог, не мог       ","ведьма, а не женщина",женщина,ведьма,neg,yes,yes
doctor63.ru," ложится в 9, просыпается в 12, а потом в 6 утра! Да < это рай, а не ребенок >. Я вот больше младенцев не хочу, либо с молоком   ","рай, а не ребенок",ребенок,рай,pos,yes,yes
wh-lady.ru,"      провезти мимо светящихся витрин. В эти моменты < он ангел, а не ребенок >. Даже не верится, что это он может кричать два    ","ангел, а не ребенок",ребенок,ангел,pos,yes,yes
autism.forum2x2.ru,"            типа лечат наших деток, пили поняла, что < это растение, а не ребенок >! Настя МамаДани пишет: Настя пишет: Цитата:       ","растение, а не ребенок",ребенок,растение,neg,yes,yes
swc21.ru," день на улицах города, а потом ночь в автобусе - < это безумие, а не отдых > .. Летом ездить и ходить по экскурсиям в Италии     ","безумие, а не отдых",отдых,безумие,neg,no,yes
krmagazine.ru,"   с сильно расставленными ногами — одним словом, < это мучение, а не отдых > на свежем воздухе. Цена также напрямую связана      ","мучение, а не отдых",отдых,мучение,neg,no,yes
travel.drom.ru,"   же гаишники там сильно не разгонишся? 2200км - < это насилие ,а не отдых >, дахе опытные водилы себе такое не лозволяют        ","насилие, а не отдых",отдых,насилие,neg,no,yes
anti-games.ru,"     , ведь играть 30 часов неподходящим стилем - < это мука, а не отдых >. Впрочем, мир далеко не так суров. Вернее,          ","мука, а не отдых",отдых,мука,neg,no,yes
hauteecole.ru,"            ). Выходной, проведенный в деннике, - < это наказание, а не отдых >. Сокращайте порцию концентратов перед               ","наказание, а не отдых",отдых,наказание,neg,no,yes
geodesist.ru," ночью - до 12. днем на глазах падает с 11-9 до 5. Но < это труба, а не работа >. Чуть куда попал, потеря инициализации и очень    ","труба, а не работа",работа,труба,neg,no,yes
divanna.livejournal.com,"   а чтобы все они были в музыку, для которых танец - < это любовь, а не работа >. Для Ульяны ""Бриллианты"", чуть ли не лучшая       ","любовь, а не работа",работа,любовь,pos,no,yes
volzsky.ru,"    один день в месяц выйдут, а 29 дней выходные. Вот < это сказка, а не работа >, еще и бабки несреднемесячные отгребут            ","сказка, а не работа",работа,сказка,pos,no,yes
sibzub.ru,"    в школе по совету брата так она сразу сказала что < это халтура, а не работа >, а когда узнала сколько это стоит то просто       ","халтура, а не работа",работа,халтура,neg,no,yes
vestnikk.ru,"     или цепи, лишь терпение. Это опасно, но для меня < это страсть, а не работа >». 10. Клаудио Пинто (Claudio Pinto) из города     ","страсть, а не работа",работа,страсть,pos,no,yes
zaharprilepin.ru,"     , конечно, нельзя считать за труд. Ну потому что < это лузерство, а не работа >! Хотя, начав с такой вот ерунды, я достигла       ","лузерство, а не работа",работа,лузерство,neg,no,yes
etxt.ru,"     , как Вы, очень приятно и полезно! Ваши заказы - < это отдых, а не работа >! Спасибо за приятные отзывы, за быструю           ","отдых, а не работа",работа,отдых,pos,no,yes
forums.ferra.ru,"      своими мини ноутами от SONY девушки и женщины - < это песня, а не работа >. А здесь два экрана, как ни как знакомое для них  ","песня, а не работа",работа,песня,pos,no,yes
forexmania.ru,"      все это у них не получается. Почему? Потому что < это игра, а не работа >. Форекс дает иллюзию надежду, шанс на лучшую      ","игра, а не работа",работа,игра,neg,no,yes
forum.detiangeli.ru,"       написать диплом и ""уволиться нафиг, потому что < это ад, а не работа >"". Мы в Огоньке были три раза,первый в 2009 году,  ","ад, а не работа",работа,ад,neg,no,yes
elitapack.ru,"       любите наряжаться, ухаживать за для, собой вас < это развлечение, а не работа >. вашей Свидание мечты ужин на двоих в самом       ","развлечение, а не работа",работа,развлечение,pos,no,yes
volgadog.ru,"       если собака идет ради спортивного интереса, то < это шоу, а не работа >. У нас дрессура прировнялась именно к шоу, а не к ","шоу, а не работа",работа,шоу,pos,no,yes
uzhgorod.job.ru,"       , с «Речного вокзала» на другой конец Москвы – < это мучение, а не работа >. Но мне оказалось как раз очень удобно: две       ","мучение, а не работа",работа,мучение,neg,no,yes
simcat.ru,"        самы большие заработки у ГИБДДшников, для них < это мечта, а не работа >. Постоянно сканворды отгадывали вместо            ","мечта, а не работа",работа,мечта,pos,no,yes
newstula.ru,"        с 2 двух администраций.Рыба гнеет с головы, а < это дележка , а не работа >. васек: Не знаю,чегойто на хорошего человека      ","дележка , а не работа",работа,дележка,neg,no,yes
0chan.ru,"        Алесисы и не выёбываться, вот они работают. А < это понты, а не работа >. В следующий раз можешь взять что-то совсем       ","понты, а не работа",работа,понты,neg,no,yes
myzarya.ru,"        , а не для населения? Марика Мне кажется, что < это видимость, а не работа >. Я не могу, например, уйти с работы, что бы       ","видимость, а не работа",работа,видимость,neg,no,yes
neteratura.ru,"         по осени, да ещё вдали от населенных пунктов < это испытание, а не работа >. В этот же день он сказал о своих сомнениях       ","испытание, а не работа",работа,испытание,neg,no,yes
megaparty.ru,"         . Заказывая услуги тамады , всегда помните - < это призвание, а не работа >. Знакомство с тамадой Владимиром Меркушевым       ","призвание, а не работа",работа,призвание,pos,no,yes
bellabs.ru,"         – фотографировать результаты. Зайфман: О-ох, < это горе, а не работа >. АФА-21, такая бандура [ около 50 см ] ,          ","горе, а не работа",работа,горе,neg,no,yes
styleway.ru,"          не стоит. В конце концов, вождение машины - < это удовольствие, а не работа > у станка. И выглядеть за рулем нужно так, чтобы   ","удовольствие, а не работа",работа,удовольствие,pos,no,yes
sportalk.ru,"          не знают обычные болелы… для которых футбол < это жизнь, а не работа >… То есть болелы и журналисты должны создавать     ","жизнь, а не работа",работа,жизнь,pos,no,yes
lira-spb.ru,"          легко. Главное помните: игра на инструменте < это удовольствие, а не работа >. Самое популярное Профессиональный                ","удовольствие, а не работа",работа,удовольствие,pos,no,yes
nimbul.ru,"          кастрюлю, не переворачивая, аккуратненько – < это мастерство, а не работа > для начинающего пекаря-любителя. Дайте хоть       ","мастерство, а не работа",работа,мастерство,pos,no,yes
katalka.ru,"          виндсерфинга. Для тех, у кого выход на воду < это отдых, а не работа >. Поэтому все правила предельно упрощены и         ","отдых, а не работа",работа,отдых,pos,no,yes
xakep-archive.ru,"           ошибками будут заниматься хакеры – для них < это удовольствие, а не работа > или способ прославиться. Также не                 ","удовольствие, а не работа",работа,удовольствие,pos,no,yes
supernew.ej.ru,"           непрекращающегося вернисажа». А вернисаж – < это праздник, а не работа >. Так что научная история новейшего                ","праздник, а не работа",работа,праздник,pos,no,yes
to-be-woman.ru,"           книг или бизнес? Написание книг для меня – < это жизнь, а не работа > Но помимо литературы мы с Дмитрием совместно      ","жизнь, а не работа",работа,жизнь,pos,no,yes
kinogazeta.ru,"           качества. Нельзя снимать серию за 5 дней - < это фабрика, а не работа >. Но к ""Турецкому"" я нормально отношусь.           ","фабрика, а не работа",работа,фабрика,neg,no,yes
taday.ru,"            переживаю, боюсь навредить, хотя для меня < это удовольствие, а не работа >. В большие праздники и в воскресенья я отдыхаю    ","удовольствие, а не работа",работа,удовольствие,pos,no,yes
